nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Fortim (CE);2022;17.294;8.774;50,73%;8.520;49,27%;16,7%;parda;baixo
Frecheirinha (CE);2022;15.657;7.794;49,78%;7.863;50,22%;20,5%;parda;baixo
General Sampaio (CE);2022;6.734;3.337;49,55%;3.397;50,45%;8,3%;parda;baixo
Graça (CE);2022;13.801;6.832;49,5%;6.969;50,5%;-8,3%;parda;baixo
Granja (CE);2022;53.344;26.169;49,06%;27.175;50,94%;1,3%;parda;médio
Granjeiro (CE);2022;4.841;2.433;50,26%;2.408;49,74%;4,6%;parda;baixo
Groaíras (CE);2022;10.910;5.507;50,48%;5.403;49,52%;6,7%;parda;baixo
Guaiúba (CE);2022;24.325;12.213;50,21%;12.112;49,79%;1%;parda;baixo
Guaraciaba do Norte (CE);2022;42.053;21.168;50,34%;20.885;49,66%;11,3%;parda;baixo
Guaramiranga (CE);2022;5.654;2.827;50%;2.827;50%;35,8%;parda;baixo
Hidrolândia (CE);2022;17.855;8.869;49,67%;8.986;50,33%;-7,6%;parda;baixo
Horizonte (CE);2022;74.755;38.671;51,73%;36.084;48,27%;35,5%;parda;médio
Ibaretama (CE);2022;11.956;5.844;48,88%;6.112;51,12%;-7,5%;parda;baixo
Ibiapina (CE);2022;23.965;12.084;50,42%;11.881;49,58%;0,7%;parda;baixo
Ibicuitinga (CE);2022;11.611;5.689;49%;5.922;51%;2,4%;parda;baixo
Icapuí (CE);2022;21.433;10.654;49,71%;10.779;50,29%;16,5%;parda;baixo
Icó (CE);2022;62.642;32.125;51,28%;30.517;48,72%;-4,3%;parda;médio
Iguatu (CE);2022;98.064;51.368;52,38%;46.696;47,62%;1,6%;parda;médio
Independência (CE);2022;24.024;12.029;50,07%;11.995;49,93%;-6,1%;parda;baixo
Ipaporanga (CE);2022;11.575;5.829;50,36%;5.746;49,64%;2%;parda;baixo
Ipaumirim (CE);2022;12.083;6.061;50,16%;6.022;49,84%;0,6%;parda;baixo
Ipu (CE);2022;41.081;20.662;50,3%;20.419;49,7%;1,9%;parda;baixo
Ipueiras (CE);2022;36.798;18.540;50,38%;18.258;49,62%;-2,8%;parda;baixo
Iracema (CE);2022;14.001;7.056;50,4%;6.945;49,6%;2%;parda;baixo
Irauçuba (CE);2022;23.915;11.821;49,43%;12.094;50,57%;7,1%;parda;baixo
Itaiçaba (CE);2022;7.536;3.892;51,65%;3.644;48,35%;3%;parda;baixo
Itaitinga (CE);2022;64.650;28.466;44,03%;36.184;55,97%;80,5%;parda;médio
Itapajé (CE);2022;46.426;23.655;50,95%;22.771;49,05%;-4%;parda;baixo
Itapipoca (CE);2022;131.123;66.009;50,34%;65.114;49,66%;13%;parda;grande
Itapiúna (CE);2022;17.841;8.972;50,29%;8.869;49,71%;-4,2%;parda;baixo
Itarema (CE);2022;42.957;21.071;49,05%;21.886;50,95%;14,6%;parda;baixo
Itatira (CE);2022;20.424;10.218;50,03%;10.206;49,97%;8,1%;parda;baixo
Jaguaretama (CE);2022;17.232;8.486;49,25%;8.746;50,75%;-3,5%;parda;baixo
Jaguaribara (CE);2022;10.356;5.249;50,69%;5.107;49,31%;-0,4%;parda;baixo
Jaguaribe (CE);2022;33.726;17.370;51,5%;16.356;48,5%;-2%;parda;baixo
Jaguaruana (CE);2022;31.701;16.235;51,21%;15.466;48,79%;-1,7%;parda;baixo
Jardim (CE);2022;27.411;14.014;51,13%;13.397;48,87%;2,7%;parda;baixo
Jati (CE);2022;7.861;3.947;50,21%;3.914;49,79%;2,6%;parda;baixo
Jijoca de Jericoacoara (CE);2022;25.555;12.836;50,23%;12.719;49,77%;50,3%;parda;baixo
Juazeiro do Norte (CE);2022;286.120;150.659;52,66%;135.461;47,34%;14,5%;parda;grande
Jucás (CE);2022;23.922;12.189;50,95%;11.733;49,05%;0,5%;parda;baixo
Lavras da Mangabeira (CE);2022;30.802;15.378;49,93%;15.424;50,07%;-0,9%;parda;baixo
Limoeiro do Norte (CE);2022;59.560;30.866;51,82%;28.694;48,18%;5,9%;parda;médio
Madalena (CE);2022;16.896;8.406;49,75%;8.490;50,25%;-6,6%;parda;baixo
Maracanaú (CE);2022;234.509;121.907;51,98%;112.602;48,02%;12,2%;parda;grande
Maranguape (CE);2022;105.093;54.067;51,45%;51.026;48,55%;-7,5%;parda;grande
Marco (CE);2022;25.799;12.778;49,53%;13.021;50,47%;4,4%;parda;baixo
Martinópole (CE);2022;10.846;5.466;50,4%;5.380;49,6%;6,2%;parda;baixo
Massapê (CE);2022;37.697;19.238;51,03%;18.459;48,97%;7,1%;parda;baixo
Mauriti (CE);2022;45.561;22.998;50,48%;22.563;49,52%;3%;parda;baixo
Meruoca (CE);2022;15.157;7.556;49,85%;7.601;50,15%;10,7%;parda;baixo
Milagres (CE);2022;25.900;13.235;51,1%;12.665;48,9%;-8,5%;parda;baixo
Milhã (CE);2022;14.123;7.058;49,98%;7.065;50,02%;7,9%;parda;baixo
Miraíma (CE);2022;14.196;6.905;48,64%;7.291;51,36%;10,9%;parda;baixo
Missão Velha (CE);2022;36.822;18.709;50,81%;18.113;49,19%;7,4%;parda;baixo
Mombaça (CE);2022;37.735;19.002;50,36%;18.733;49,64%;-11,6%;parda;baixo
Monsenhor Tabosa (CE);2022;17.149;8.617;50,25%;8.532;49,75%;2,7%;parda;baixo
Morada Nova (CE);2022;61.443;31.155;50,71%;30.288;49,29%;-1%;parda;médio
Moraújo (CE);2022;8.254;4.140;50,16%;4.114;49,84%;2,3%;parda;baixo
Morrinhos (CE);2022;22.753;11.270;49,53%;11.483;50,47%;9,9%;parda;baixo
Mucambo (CE);2022;13.666;7.039;51,51%;6.627;48,49%;-3,1%;parda;baixo
Mulungu (CE);2022;10.569;5.307;50,21%;5.262;49,79%;-8%;parda;baixo
Nova Olinda (CE);2022;15.399;7.895;51,27%;7.504;48,73%;8%;parda;baixo
Nova Russas (CE);2022;30.699;15.564;50,7%;15.135;49,3%;-0,9%;parda;baixo
Novo Oriente (CE);2022;27.545;13.898;50,46%;13.647;49,54%;0,3%;parda;baixo
Ocara (CE);2022;24.493;12.237;49,96%;12.256;50,04%;2%;parda;baixo
Orós (CE);2022;19.675;10.002;50,84%;9.673;49,16%;-8%;parda;baixo
Pacajus (CE);2022;70.983;36.603;51,57%;34.380;48,43%;14,8%;parda;médio
Pacatuba (CE);2022;81.524;42.038;51,57%;39.486;48,43%;12,8%;parda;médio
Pacoti (CE);2022;11.186;5.575;49,84%;5.611;50,16%;-3,6%;parda;baixo
Pacujá (CE);2022;6.175;3.211;52%;2.964;48%;3,2%;parda;baixo
Palhano (CE);2022;9.346;4.674;50,01%;4.672;49,99%;5,4%;parda;baixo
Palmácia (CE);2022;10.242;5.116;49,95%;5.126;50,05%;-14,7%;parda;baixo
Paracuru (CE);2022;38.980;19.754;50,68%;19.226;49,32%;23,2%;parda;baixo
Paraipaba (CE);2022;32.216;16.183;50,23%;16.033;49,77%;7,2%;parda;baixo
Parambu (CE);2022;31.445;16.019;50,94%;15.426;49,06%;0,4%;parda;baixo
Paramoti (CE);2022;10.384;5.136;49,46%;5.248;50,54%;-8,2%;parda;baixo
Pedra Branca (CE);2022;40.187;20.352;50,64%;19.835;49,36%;-4,1%;parda;baixo
Penaforte (CE);2022;8.972;4.575;50,99%;4.397;49,01%;9,1%;parda;baixo
Pentecoste (CE);2022;37.813;19.019;50,3%;18.794;49,7%;6,8%;parda;baixo
Pereiro (CE);2022;15.274;7.750;50,74%;7.524;49,26%;-3,1%;parda;baixo
Pindoretama (CE);2022;23.391;11.893;50,84%;11.498;49,16%;25,2%;parda;baixo
Piquet Carneiro (CE);2022;16.616;8.351;50,26%;8.265;49,74%;7,4%;parda;baixo
Pires Ferreira (CE);2022;10.606;5.121;48,28%;5.485;51,72%;3,8%;parda;baixo
Poranga (CE);2022;12.065;6.001;49,74%;6.064;50,26%;0,5%;parda;baixo
Porteiras (CE);2022;17.050;8.541;50,09%;8.509;49,91%;13,2%;parda;baixo
Potengi (CE);2022;8.833;4.530;51,28%;4.303;48,72%;-14%;parda;baixo
Potiretama (CE);2022;5.974;2.938;49,18%;3.036;50,82%;-2,5%;branca;baixo
Quiterianópolis (CE);2022;20.213;10.179;50,36%;10.034;49,64%;1,5%;parda;baixo
Quixadá (CE);2022;84.168;43.245;51,38%;40.923;48,62%;4,4%;parda;médio
Quixelô (CE);2022;15.910;7.826;49,19%;8.084;50,81%;6,1%;parda;baixo
Quixeramobim (CE);2022;82.177;41.723;50,77%;40.454;49,23%;14,3%;parda;médio
Quixeré (CE);2022;20.874;10.654;51,04%;10.220;48,96%;7,5%;parda;baixo
Redenção (CE);2022;27.214;13.968;51,33%;13.246;48,67%;3%;parda;baixo
Reriutaba (CE);2022;18.606;9.190;49,39%;9.416;50,61%;-4,4%;parda;baixo
Russas (CE);2022;72.928;37.483;51,4%;35.445;48,6%;4,4%;parda;médio
Saboeiro (CE);2022;13.854;6.932;50,04%;6.922;49,96%;-12%;parda;baixo
Salitre (CE);2022;16.633;8.261;49,67%;8.372;50,33%;7,6%;parda;baixo
Santana do Acaraú (CE);2022;30.628;15.088;49,26%;15.540;50,74%;2,3%;parda;baixo
Santana do Cariri (CE);2022;16.954;8.432;49,73%;8.522;50,27%;-1,3%;parda;baixo
Santa Quitéria (CE);2022;40.183;20.192;50,25%;19.991;49,75%;-6%;parda;baixo
São Benedito (CE);2022;47.640;23.916;50,2%;23.724;49,8%;7,8%;parda;baixo
São Gonçalo do Amarante (CE);2022;54.143;27.377;50,56%;26.766;49,44%;23,4%;parda;médio
São João do Jaguaribe (CE);2022;5.855;3.050;52,09%;2.805;47,91%;-25,9%;parda;baixo
São Luís do Curu (CE);2022;10.822;5.595;51,7%;5.227;48,3%;-12,2%;parda;baixo
Senador Pompeu (CE);2022;24.266;12.423;51,2%;11.843;48,8%;-8,3%;parda;baixo
Senador Sá (CE);2022;7.262;3.628;49,96%;3.634;50,04%;6%;parda;baixo
Sobral (CE);2022;203.023;105.098;51,77%;97.925;48,23%;7,9%;parda;grande
Solonópole (CE);2022;18.179;9.044;49,75%;9.135;50,25%;2,9%;parda;baixo
Tabuleiro do Norte (CE);2022;30.652;16.051;52,37%;14.601;47,63%;5%;parda;baixo
Tamboril (CE);2022;24.815;12.468;50,24%;12.347;49,76%;-2,5%;parda;baixo
Tarrafas (CE);2022;7.529;3.789;50,33%;3.740;49,67%;-15,5%;parda;baixo
Tauá (CE);2022;61.227;31.264;51,06%;29.963;48,94%;9,9%;parda;médio
Tejuçuoca (CE);2022;17.154;8.430;49,14%;8.724;50,86%;1,9%;parda;baixo
Tianguá (CE);2022;81.506;41.074;50,39%;40.432;49,61%;18,3%;parda;médio
Trairi (CE);2022;58.415;28.925;49,52%;29.490;50,48%;13,6%;parda;médio
Tururu (CE);2022;15.412;7.656;49,68%;7.756;50,32%;7%;parda;baixo
Ubajara (CE);2022;32.767;16.576;50,59%;16.191;49,41%;3,1%;parda;baixo
Umari (CE);2022;6.871;3.401;49,5%;3.470;50,5%;-8,9%;parda;baixo
Umirim (CE);2022;17.470;8.616;49,32%;8.854;50,68%;-7,1%;parda;baixo
Uruburetama (CE);2022;20.189;10.155;50,3%;10.034;49,7%;2,1%;parda;baixo
Uruoca (CE);2022;13.746;6.798;49,45%;6.948;50,55%;6,7%;parda;baixo
Varjota (CE);2022;18.105;9.159;50,59%;8.946;49,41%;2,9%;parda;baixo
Várzea Alegre (CE);2022;38.984;20.010;51,33%;18.974;48,67%;1,4%;parda;baixo
Viçosa do Ceará (CE);2022;59.712;29.768;49,85%;29.944;50,15%;8,7%;parda;médio
ARACRUZ (ES);2022;94.765;47.872;50,52%;46.893;49,48%;15,8%;parda;médio
ITAGUAÇU (ES);2022;13.589;6.840;50,33%;6.749;49,67%;-3,9%;branca;baixo
ITARANA (ES);2022;10.597;5.336;50,35%;5.261;49,65%;-2,6%;branca;baixo
Águia Branca (ES);2022;9.711;4.781;49,23%;4.930;50,77%;2%;parda;baixo
Água Doce do Norte (ES);2022;12.042;5.990;49,74%;6.052;50,26%;2,3%;parda;baixo
Alto Rio Novo (ES);2022;7.434;3.733;50,22%;3.701;49,78%;1,6%;parda;baixo
Baixo Guandu (ES);2022;30.674;15.696;51,17%;14.978;48,83%;5,5%;parda;baixo
Barra de São Francisco (ES);2022;42.498;21.504;50,6%;20.994;49,4%;4,5%;parda;baixo
Boa Esperança (ES);2022;13.608;6.846;50,31%;6.762;49,69%;-4,2%;parda;baixo
Colatina (ES);2022;120.033;61.911;51,58%;58.122;48,42%;7,4%;parda;grande
Conceição da Barra (ES);2022;27.458;14.062;51,21%;13.396;48,79%;-3,5%;parda;baixo
Ecoporanga (ES);2022;21.992;11.077;50,37%;10.915;49,63%;-5,3%;parda;baixo
Governador Lindenberg (ES);2022;11.009;5.347;48,57%;5.662;51,43%;1,3%;parda;baixo
Jaguaré (ES);2022;28.931;14.495;50,1%;14.436;49,9%;17,2%;parda;baixo
Linhares (ES);2022;166.786;84.307;50,55%;82.479;49,45%;18%;parda;grande
Mantenópolis (ES);2022;12.770;6.477;50,72%;6.293;49,28%;-6,2%;parda;baixo
Marilândia (ES);2022;12.387;6.263;50,56%;6.124;49,44%;11,5%;branca;baixo
Montanha (ES);2022;18.900;9.553;50,54%;9.347;49,46%;5,9%;parda;baixo
Mucurici (ES);2022;5.466;2.718;49,73%;2.748;50,27%;-3,3%;parda;baixo
Nova Venécia (ES);2022;49.065;24.772;50,49%;24.293;49,51%;6,6%;parda;baixo
Pancas (ES);2022;18.893;9.385;49,67%;9.508;50,33%;-12,3%;parda;baixo
Pedro Canário (ES);2022;21.522;10.884;50,57%;10.638;49,43%;-9,5%;parda;baixo
Pinheiros (ES);2022;23.915;11.985;50,11%;11.930;49,89%;0,1%;parda;baixo
Ponto Belo (ES);2022;6.497;3.351;51,58%;3.146;48,42%;-6,9%;parda;baixo
Rio Bananal (ES);2022;19.274;9.408;48,81%;9.866;51,19%;9,9%;parda;baixo
São Domingos do Norte (ES);2022;8.589;4.092;47,64%;4.497;52,36%;7,3%;parda;baixo
São Gabriel da Palha (ES);2022;32.252;16.365;50,74%;15.887;49,26%;1,2%;parda;baixo
São Mateus (ES);2022;123.752;62.665;50,64%;61.087;49,36%;13,5%;parda;grande
Sooretama (ES);2022;26.502;13.209;49,84%;13.293;50,16%;11,2%;parda;baixo
Vila Pavão (ES);2022;8.911;4.415;49,55%;4.496;50,45%;2,8%;branca;baixo
Vila Valério (ES);2022;13.728;6.650;48,44%;7.078;51,56%;-0,7%;parda;baixo
Açailândia (MA);2022;106.550;53.946;50,63%;52.604;49,37%;2,4%;parda;grande
Afonso Cunha (MA);2022;6.144;3.013;49,04%;3.131;50,96%;4%;parda;baixo
Água Doce do Maranhão (MA);2022;12.142;5.932;48,86%;6.210;51,14%;4,8%;parda;baixo
Alcântara (MA);2022;18.467;9.066;49,09%;9.401;50,91%;-15,5%;parda;baixo
Aldeias Altas (MA);2022;23.286;11.621;49,91%;11.665;50,09%;-2,8%;parda;baixo
Altamira do Maranhão (MA);2022;6.447;3.183;49,37%;3.264;50,63%;-41,7%;parda;baixo
Alto Alegre do Maranhão (MA);2022;24.048;12.198;50,72%;11.850;49,28%;-2,2%;parda;baixo
Alto Alegre do Pindaré (MA);2022;25.710;12.738;49,54%;12.972;50,46%;-17,2%;parda;baixo
Alto Parnaíba (MA);2022;11.109;5.359;48,24%;5.750;51,76%;3,2%;parda;baixo
Amapá do Maranhão (MA);2022;7.170;3.515;49,02%;3.655;50,98%;11,5%;parda;baixo
Amarante do Maranhão (MA);2022;37.085;17.993;48,52%;19.092;51,48%;-2,2%;parda;baixo
Anajatuba (MA);2022;25.322;12.445;49,15%;12.877;50,85%;0,1%;parda;baixo
Anapurus (MA);2022;13.793;6.908;50,08%;6.885;49,92%;-1%;parda;baixo
Apicum-Açu (MA);2022;17.519;8.454;48,26%;9.065;51,74%;17,1%;parda;baixo
Araguanã (MA);2022;11.181;5.554;49,67%;5.627;50,33%;-20%;parda;baixo
Araioses (MA);2022;39.052;19.056;48,8%;19.996;51,2%;-8,1%;parda;baixo
Arame (MA);2022;25.517;12.366;48,46%;13.151;51,54%;-19,5%;parda;baixo
Arari (MA);2022;29.472;14.869;50,45%;14.603;49,55%;3,5%;parda;baixo
Axixá (MA);2022;11.790;5.921;50,22%;5.869;49,78%;3,4%;parda;baixo
Bacabal (MA);2022;103.711;53.992;52,06%;49.719;47,94%;3,7%;parda;grande
Bacabeira (MA);2022;16.966;8.548;50,38%;8.418;49,62%;13,7%;parda;baixo
Bacuri (MA);2022;16.290;8.001;49,12%;8.289;50,88%;-1,9%;parda;baixo
Bacurituba (MA);2022;5.252;2.544;48,44%;2.708;51,56%;-0,8%;parda;baixo
Balsas (MA);2022;101.767;51.501;50,61%;50.266;49,39%;21,8%;parda;grande
Barão de Grajaú (MA);2022;18.984;9.542;50,26%;9.442;49,74%;6,4%;parda;baixo
Barra do Corda (MA);2022;84.532;42.711;50,53%;41.821;49,47%;2,1%;parda;médio
Barreirinhas (MA);2022;65.589;32.221;49,13%;33.368;50,87%;19,4%;parda;médio
Belágua (MA);2022;8.460;3.978;47,02%;4.482;52,98%;29,7%;parda;baixo
Bela Vista do Maranhão (MA);2022;11.750;5.897;50,19%;5.853;49,81%;-2,5%;parda;baixo
Benedito Leite (MA);2022;5.469;2.659;48,62%;2.810;51,38%;0%;parda;baixo
Bequimão (MA);2022;19.584;9.689;49,47%;9.895;50,53%;-3,7%;parda;baixo
Bernardo do Mearim (MA);2022;5.840;2.923;50,05%;2.917;49,95%;-2,6%;parda;baixo
Boa Vista do Gurupi (MA);2022;7.574;3.730;49,25%;3.844;50,75%;-4,7%;parda;baixo
Bom Jardim (MA);2022;33.100;16.424;49,62%;16.676;50,38%;-15,2%;parda;baixo
Bom Jesus das Selvas (MA);2022;28.599;13.856;48,45%;14.743;51,55%;0,5%;parda;baixo
Bom Lugar (MA);2022;12.212;6.003;49,16%;6.209;50,84%;-17,6%;parda;baixo
Brejo (MA);2022;34.120;16.983;49,77%;17.137;50,23%;2,3%;parda;baixo
Brejo de Areia (MA);2022;9.218;4.446;48,23%;4.772;51,77%;65,3%;parda;baixo
Buriti (MA);2022;29.685;14.529;48,94%;15.156;51,06%;9,9%;parda;baixo
Buriti Bravo (MA);2022;22.455;11.252;50,11%;11.203;49,89%;-1,9%;parda;baixo
Buriticupu (MA);2022;55.499;27.749;50%;27.750;50%;-14,9%;parda;médio
Buritirana (MA);2022;12.918;6.368;49,3%;6.550;50,7%;-12,6%;parda;baixo
Cachoeira Grande (MA);2022;9.732;4.669;47,98%;5.063;52,02%;15,2%;parda;baixo
Cajapió (MA);2022;10.121;5.012;49,52%;5.109;50,48%;-4,5%;parda;baixo
Cajari (MA);2022;16.412;8.078;49,22%;8.334;50,78%;-10,5%;parda;baixo
Campestre do Maranhão (MA);2022;12.301;6.083;49,45%;6.218;50,55%;-8%;parda;baixo
Cândido Mendes (MA);2022;19.932;9.682;48,58%;10.250;51,42%;7,7%;parda;baixo
Cantanhede (MA);2022;24.303;12.148;49,99%;12.155;50,01%;18,9%;parda;baixo
Capinzal do Norte (MA);2022;11.374;5.760;50,64%;5.614;49,36%;6,3%;parda;baixo
Carolina (MA);2022;24.062;11.816;49,11%;12.246;50,89%;0,4%;parda;baixo
Carutapera (MA);2022;24.238;11.882;49,02%;12.356;50,98%;10,1%;parda;baixo
Caxias (MA);2022;156.973;81.584;51,97%;75.389;48,03%;1,2%;parda;grande
Cedral (MA);2022;10.208;4.984;48,82%;5.224;51,18%;-0,9%;parda;baixo
Central do Maranhão (MA);2022;7.094;3.420;48,21%;3.674;51,79%;-10,1%;parda;baixo
Centro do Guilherme (MA);2022;12.342;6.015;48,74%;6.327;51,26%;-1,8%;parda;baixo
Centro Novo do Maranhão (MA);2022;16.267;7.782;47,84%;8.485;52,16%;-7,7%;parda;baixo
Chapadinha (MA);2022;81.386;41.420;50,89%;39.966;49,11%;11%;parda;médio
Cidelândia (MA);2022;12.878;6.321;49,08%;6.557;50,92%;-5,9%;parda;baixo
Codó (MA);2022;114.275;58.989;51,62%;55.286;48,38%;-3,2%;parda;grande
Coelho Neto (MA);2022;41.658;21.120;50,7%;20.538;49,3%;-10,9%;parda;baixo
Colinas (MA);2022;40.316;20.642;51,2%;19.674;48,8%;3%;parda;baixo
Conceição do Lago-Açu (MA);2022;14.915;7.223;48,43%;7.692;51,57%;3,3%;parda;baixo
Coroatá (MA);2022;59.566;30.198;50,7%;29.368;49,3%;-3,5%;parda;médio
Cururupu (MA);2022;31.558;15.601;49,44%;15.957;50,56%;-3,4%;parda;baixo
Davinópolis (MA);2022;14.404;7.138;49,56%;7.266;50,44%;14,5%;parda;baixo
Dom Pedro (MA);2022;23.053;11.849;51,4%;11.204;48,6%;1,6%;parda;baixo
Duque Bacelar (MA);2022;10.223;5.073;49,62%;5.150;50,38%;-4%;parda;baixo
Esperantinópolis (MA);2022;18.311;9.248;50,51%;9.063;49,49%;-0,8%;parda;baixo
Estreito (MA);2022;33.294;16.587;49,82%;16.707;50,18%;-7,1%;parda;baixo
Feira Nova do Maranhão (MA);2022;8.048;3.848;47,81%;4.200;52,19%;-1%;parda;baixo
Fernando Falcão (MA);2022;10.873;5.215;47,96%;5.658;52,04%;17,7%;parda;baixo
Formosa da Serra Negra (MA);2022;17.719;8.432;47,59%;9.287;52,41%;-0,2%;parda;baixo
Fortaleza dos Nogueiras (MA);2022;12.640;6.241;49,38%;6.399;50,63%;8,5%;parda;baixo
Fortuna (MA);2022;16.976;8.358;49,23%;8.618;50,77%;12,4%;parda;baixo
Godofredo Viana (MA);2022;10.186;4.917;48,27%;5.269;51,73%;-4,2%;parda;baixo
Gonçalves Dias (MA);2022;17.206;8.650;50,27%;8.556;49,73%;-1,6%;parda;baixo
Governador Archer (MA);2022;10.231;5.138;50,22%;5.093;49,78%;0,3%;parda;baixo
Governador Edison Lobão (MA);2022;18.411;9.087;49,36%;9.324;50,64%;15,8%;parda;baixo
Governador Eugênio Barros (MA);2022;13.930;6.946;49,86%;6.984;50,14%;-12,9%;parda;baixo
Governador Luiz Rocha (MA);2022;7.063;3.446;48,79%;3.617;51,21%;-3,7%;parda;baixo
Governador Newton Bello (MA);2022;10.713;5.157;48,14%;5.556;51,86%;-10,1%;parda;baixo
Governador Nunes Freire (MA);2022;23.128;11.476;49,62%;11.652;50,38%;-8,9%;parda;baixo
Graça Aranha (MA);2022;6.023;3.009;49,96%;3.014;50,04%;-1,9%;parda;baixo
Grajaú (MA);2022;73.872;36.646;49,61%;37.226;50,39%;19%;parda;médio
Guimarães (MA);2022;10.290;5.157;50,12%;5.133;49,88%;-14,8%;parda;baixo
Humberto de Campos (MA);2022;25.680;12.353;48,1%;13.327;51,9%;-1,9%;parda;baixo
Icatu (MA);2022;24.794;12.129;48,92%;12.665;51,08%;-1,4%;parda;baixo
Igarapé do Meio (MA);2022;13.974;7.025;50,27%;6.949;49,73%;11,3%;parda;baixo
Igarapé Grande (MA);2022;10.231;5.159;50,43%;5.072;49,57%;-7,3%;parda;baixo
Imperatriz (MA);2022;273.110;141.671;51,87%;131.439;48,13%;10,3%;parda;grande
Itaipava do Grajaú (MA);2022;13.828;6.704;48,48%;7.124;51,52%;-3,3%;parda;baixo
Itapecuru Mirim (MA);2022;60.440;30.879;51,09%;29.561;48,91%;-2,7%;parda;médio
Itinga do Maranhão (MA);2022;22.513;11.284;50,12%;11.229;49,88%;-9,5%;parda;baixo
Jatobá (MA);2022;7.471;3.694;49,44%;3.777;50,56%;-12,4%;parda;baixo
Jenipapo dos Vieiras (MA);2022;17.076;8.299;48,6%;8.777;51,4%;10,6%;indigena;baixo
João Lisboa (MA);2022;24.709;12.498;50,58%;12.211;49,42%;21,2%;parda;baixo
Joselândia (MA);2022;14.924;7.352;49,26%;7.572;50,74%;-3,3%;parda;baixo
Junco do Maranhão (MA);2022;5.146;2.573;50%;2.573;50%;28%;parda;baixo
Lago da Pedra (MA);2022;44.403;22.439;50,53%;21.964;49,47%;-3,6%;parda;baixo
Lago do Junco (MA);2022;9.506;4.739;49,85%;4.767;50,15%;-11,4%;parda;baixo
Lago Verde (MA);2022;14.769;7.447;50,42%;7.322;49,58%;-4,2%;parda;baixo
Lagoa do Mato (MA);2022;10.572;5.256;49,72%;5.316;50,28%;-3,3%;parda;baixo
Lago dos Rodrigues (MA);2022;8.758;4.382;50,03%;4.376;49,97%;12,4%;parda;baixo
Lagoa Grande do Maranhão (MA);2022;11.411;5.509;48,28%;5.902;51,72%;8,5%;parda;baixo
Lajeado Novo (MA);2022;7.057;3.386;47,98%;3.671;52,02%;1,9%;parda;baixo
Lima Campos (MA);2022;11.297;5.781;51,17%;5.516;48,83%;-1,1%;parda;baixo
Loreto (MA);2022;11.597;5.649;48,71%;5.948;51,29%;1,8%;parda;baixo
Luís Domingues (MA);2022;7.161;3.488;48,71%;3.673;51,29%;10%;parda;baixo
Magalhães de Almeida (MA);2022;13.807;6.813;49,34%;6.994;50,66%;-21,5%;parda;baixo
Maracaçumé (MA);2022;21.149;10.780;50,97%;10.369;49,03%;10,4%;parda;baixo
Marajá do Sena (MA);2022;7.027;3.161;44,98%;3.866;55,02%;-12,7%;parda;baixo
Maranhãozinho (MA);2022;13.761;6.805;49,45%;6.956;50,55%;-2,2%;parda;baixo
Mata Roma (MA);2022;17.090;8.483;49,64%;8.607;50,36%;12,8%;parda;baixo
Matinha (MA);2022;22.034;11.047;50,14%;10.987;49,86%;0,7%;parda;baixo
Matões (MA);2022;32.174;15.998;49,72%;16.176;50,28%;3,7%;parda;baixo
Matões do Norte (MA);2022;17.432;8.596;49,31%;8.836;50,69%;26,4%;parda;baixo
Milagres do Maranhão (MA);2022;8.818;4.263;48,34%;4.555;51,66%;8,6%;parda;baixo
Mirador (MA);2022;21.030;10.277;48,87%;10.753;51,13%;2,8%;parda;baixo
Miranda do Norte (MA);2022;23.864;11.990;50,24%;11.874;49,76%;-2,3%;parda;baixo
Mirinzal (MA);2022;13.978;6.943;49,67%;7.035;50,33%;-1,7%;parda;baixo
Monção (MA);2022;27.751;13.818;49,79%;13.933;50,21%;-12,6%;parda;baixo
Montes Altos (MA);2022;9.106;4.389;48,2%;4.717;51,8%;-3,3%;parda;baixo
Morros (MA);2022;18.554;9.046;48,75%;9.508;51,25%;4,3%;parda;baixo
Nina Rodrigues (MA);2022;14.176;7.345;51,81%;6.831;48,19%;13,7%;parda;baixo
Nova Colinas (MA);2022;5.021;2.388;47,56%;2.633;52,44%;2,8%;parda;baixo
Nova Iorque (MA);2022;4.320;2.145;49,65%;2.175;50,35%;-5,9%;parda;baixo
Nova Olinda do Maranhão (MA);2022;14.314;7.224;50,47%;7.090;49,53%;-25,2%;parda;baixo
Olho d'Água das Cunhãs (MA);2022;17.919;9.044;50,47%;8.875;49,53%;-3,7%;parda;baixo
Olinda Nova do Maranhão (MA);2022;13.577;6.692;49,29%;6.885;50,71%;3%;parda;baixo
Paço do Lumiar (MA);2022;145.643;76.266;52,37%;69.377;47,63%;38,5%;parda;grande
Palmeirândia (MA);2022;21.059;10.584;50,26%;10.475;49,74%;12,2%;parda;baixo
Paraibano (MA);2022;18.274;9.270;50,73%;9.004;49,27%;-9,1%;parda;baixo
Parnarama (MA);2022;31.250;15.636;50,04%;15.614;49,96%;-9,6%;parda;baixo
Passagem Franca (MA);2022;17.220;8.707;50,56%;8.513;49,44%;-1,9%;parda;baixo
Pastos Bons (MA);2022;18.802;9.361;49,79%;9.441;50,21%;4,1%;parda;baixo
Paulino Neves (MA);2022;17.056;8.310;48,72%;8.746;51,28%;17,5%;parda;baixo
