city;educacao.ensino_fundamental_incompleto;educacao.ensino_fundamental_completo;educacao.ensino_medio_completo;educacao.ensino_superior_completo;educacao.alfabetizados;educacao.analfabetos
Jacuípe (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Japaratinga (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaramataia (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jequiá da Praia (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Joaquim Gomes (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jundiá (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Junqueiro (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa da Canoa (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Limoeiro de Anadia (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maceió (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Major Isidoro (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maragogi (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maravilha (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marechal Deodoro (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maribondo (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mar Vermelho (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mata Grande (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matriz de Camaragibe (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Messias (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Minador do Negrão (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monteirópolis (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Murici (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Novo Lino (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olho d'Água das Flores (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olho d'Água do Casado (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olho d'Água Grande (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Olivença (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ouro Branco (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palestina (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Palmeira dos Índios (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pão de Açúcar (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pariconha (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paripueira (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Passo de Camaragibe (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Paulo Jacinto (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Penedo (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piaçabuçu (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pilar (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Pindoba (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Piranhas (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Poço das Trincheiras (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto Calvo (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto de Pedras (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Porto Real do Colégio (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Quebrangulo (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Rio Largo (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Roteiro (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santa Luzia do Norte (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Ipanema (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Santana do Mundaú (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Brás (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José da Laje (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
São José da Tapera (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Luís do Quitunde (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel dos Campos (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Miguel dos Milagres (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
São Sebastião (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Satuba (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Senador Rui Palmeira (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Tanque d'Arca (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Taquarana (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Teotônio Vilela (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Traipu (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
União dos Palmares (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Viçosa (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Abaíra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Abaré (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Acajutiba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Adustina (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Água Fria (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Érico Cardoso (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aiquara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alagoinhas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Alcobaça (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Almadina (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amargosa (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Amélia Rodrigues (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
América Dourada (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Anagé (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Andaraí (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Andorinha (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Angical (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Anguera (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Antas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Antônio Cardoso (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Antônio Gonçalves (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aporá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Apuarema (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aracatu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araçás (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Araci (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aramari (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arataca (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aratuípe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Aurelino Leal (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baianópolis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Baixa Grande (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Banzaê (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra da Estiva (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra do Choça (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra do Mendes (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra do Rocha (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barreiras (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barro Alto (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barrocas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barro Preto (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belmonte (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belo Campo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Biritinga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Nova (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boa Vista do Tupim (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jesus da Lapa (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bom Jesus da Serra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boninal (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Bonito (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boquira (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Botuporã (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejões (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brejolândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brotas de Macaúbas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Brumado (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buerarema (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Buritirama (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caatiba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cabaceiras do Paraguaçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cachoeira (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caculé (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caém (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caetanos (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caetité (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cafarnaum (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cairu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caldeirão Grande (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camacan (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camaçari (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Camamu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Alegre de Lourdes (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Formoso (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canápolis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canarana (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canavieiras (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Candeal (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Candeias (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Candiba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cândido Sales (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cansanção (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canudos (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capela do Alto Alegre (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capim Grosso (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caraíbas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caravelas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cardeal da Silva (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carinhanha (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Casa Nova (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Castro Alves (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catolândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Catu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Caturama (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Central (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chorrochó (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cícero Dantas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cipó (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coaraci (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cocos (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição da Feira (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição do Almeida (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição do Coité (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conceição do Jacuípe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Conde (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Condeúba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Contendas do Sincorá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coração de Maria (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cordeiros (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coribe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coronel João Sá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Correntina (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cotegipe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cravolândia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Crisópolis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cristópolis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cruz das Almas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Curaçá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dário Meira (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dias d'Ávila (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dom Basílio (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dom Macedo Costa (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Elísio Medrado (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Encruzilhada (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Entre Rios (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Esplanada (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Euclides da Cunha (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Eunápolis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Fátima (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Feira da Mata (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Feira de Santana (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Filadélfia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Firmino Alves (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Floresta Azul (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Formosa do Rio Preto (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gandu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gavião (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gentio do Ouro (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Glória (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Gongogi (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Governador Mangabeira (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guajeru (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guanambi (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Guaratinga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Heliópolis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iaçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibiassucê (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibicaraí (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibicoara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibicuí (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibipeba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibipitanga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibiquera (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibirapitanga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibirapuã (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibirataia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibitiara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibititá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibotirama (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ichu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igaporã (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igrapiúna (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iguaí (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ilhéus (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Inhambupe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipecaetá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipiaú (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipirá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ipupiara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Irajuba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iramaia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iraquara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Irará (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Irecê (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itabela (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaberaba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itabuna (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itacaré (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaeté (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itagi (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itagibá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itagimirim (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaguaçu da Bahia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaju do Colônia (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itajuípe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itamaraju (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itamari (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itambé (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itanagra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itanhém (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaparica (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapé (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapebi (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapetinga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapicuru (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itapitanga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itaquara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itarantim (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itatim (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itiruçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itiúba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Itororó (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ituaçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ituberá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Iuiu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaborandi (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jacaraci (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jacobina (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguaquara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguarari (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jaguaripe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jandaíra (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jequié (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jeremoabo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jiquiriçá (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jitaúna (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
João Dourado (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Juazeiro (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jucuruçu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jussara (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jussari (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jussiape (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lafaiete Coutinho (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lagoa Real (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Laje (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lajedão (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lajedinho (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lajedo do Tabocal (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lamarão (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lapão (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lauro de Freitas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Lençóis (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Licínio de Almeida (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Livramento de Nossa Senhora (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Luís Eduardo Magalhães (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macajuba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macarani (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macaúbas (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Macururé (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Madre de Deus (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maetinga (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maiquinique (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mairi (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Malhada (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Malhada de Pedras (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Manoel Vitorino (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mansidão (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maracás (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maragogipe (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Maraú (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Marcionílio Souza (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mascote (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mata de São João (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Matina (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Medeiros Neto (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Miguel Calmon (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Milagres (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mirangaba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mirante (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Monte Santo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Morpará (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Morro do Chapéu (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mortugaba (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mucugê (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mucuri (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mulungu do Morro (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Mundo Novo (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Muniz Ferreira (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
Muquém do São Francisco (BA);32,63%;13,03%;33,49%;20,85%;92%;26.939
